Instagram採用 月次KPI（B〜K列に数字を入れるだけ。L列以降は自動計算）
月,投稿数,インプレッション,リーチ数,プロフアクセス数,リンクタップ数,LINE登録,面接,採用数(LINE経由),その他問い合わせ,採用数(その他経由),採用数 合計,1投稿あたりインプ,リーチ率(リーチ÷インプ),プロフアクセス率(プロフ÷リーチ),リンクタップ率(タップ÷プロフ),LINE登録率(登録÷タップ),面接率(面接÷LINE登録),採用率(採用÷面接),LINE→採用率(採用÷LINE登録),その他採用率(採用÷その他問合せ),リーチ→採用率(採用合計÷リーチ),1採用あたり投稿数
8月,,,,,,,,,,,"=IFERROR(IF(COUNT(I3:K3)=0,"""",SUM(I3,K3)),"""")","=IFERROR(ROUND(C3/B3),"""")","=IFERROR(TEXT(D3/C3,""0.0%""),"""")","=IFERROR(TEXT(E3/D3,""0.0%""),"""")","=IFERROR(TEXT(F3/E3,""0.0%""),"""")","=IFERROR(TEXT(G3/F3,""0.0%""),"""")","=IFERROR(TEXT(H3/G3,""0.0%""),"""")","=IFERROR(TEXT(I3/H3,""0.0%""),"""")","=IFERROR(TEXT(I3/G3,""0.0%""),"""")","=IFERROR(TEXT(K3/J3,""0.0%""),"""")","=IFERROR(TEXT(L3/D3,""0.00%""),"""")","=IFERROR(TEXT(B3/L3,""0.0""),"""")"
9月,,,,,,,,,,,"=IFERROR(IF(COUNT(I4:K4)=0,"""",SUM(I4,K4)),"""")","=IFERROR(ROUND(C4/B4),"""")","=IFERROR(TEXT(D4/C4,""0.0%""),"""")","=IFERROR(TEXT(E4/D4,""0.0%""),"""")","=IFERROR(TEXT(F4/E4,""0.0%""),"""")","=IFERROR(TEXT(G4/F4,""0.0%""),"""")","=IFERROR(TEXT(H4/G4,""0.0%""),"""")","=IFERROR(TEXT(I4/H4,""0.0%""),"""")","=IFERROR(TEXT(I4/G4,""0.0%""),"""")","=IFERROR(TEXT(K4/J4,""0.0%""),"""")","=IFERROR(TEXT(L4/D4,""0.00%""),"""")","=IFERROR(TEXT(B4/L4,""0.0""),"""")"
10月,,,,,,,,,,,"=IFERROR(IF(COUNT(I5:K5)=0,"""",SUM(I5,K5)),"""")","=IFERROR(ROUND(C5/B5),"""")","=IFERROR(TEXT(D5/C5,""0.0%""),"""")","=IFERROR(TEXT(E5/D5,""0.0%""),"""")","=IFERROR(TEXT(F5/E5,""0.0%""),"""")","=IFERROR(TEXT(G5/F5,""0.0%""),"""")","=IFERROR(TEXT(H5/G5,""0.0%""),"""")","=IFERROR(TEXT(I5/H5,""0.0%""),"""")","=IFERROR(TEXT(I5/G5,""0.0%""),"""")","=IFERROR(TEXT(K5/J5,""0.0%""),"""")","=IFERROR(TEXT(L5/D5,""0.00%""),"""")","=IFERROR(TEXT(B5/L5,""0.0""),"""")"
11月,,,,,,,,,,,"=IFERROR(IF(COUNT(I6:K6)=0,"""",SUM(I6,K6)),"""")","=IFERROR(ROUND(C6/B6),"""")","=IFERROR(TEXT(D6/C6,""0.0%""),"""")","=IFERROR(TEXT(E6/D6,""0.0%""),"""")","=IFERROR(TEXT(F6/E6,""0.0%""),"""")","=IFERROR(TEXT(G6/F6,""0.0%""),"""")","=IFERROR(TEXT(H6/G6,""0.0%""),"""")","=IFERROR(TEXT(I6/H6,""0.0%""),"""")","=IFERROR(TEXT(I6/G6,""0.0%""),"""")","=IFERROR(TEXT(K6/J6,""0.0%""),"""")","=IFERROR(TEXT(L6/D6,""0.00%""),"""")","=IFERROR(TEXT(B6/L6,""0.0""),"""")"
12月,,,,,,,,,,,"=IFERROR(IF(COUNT(I7:K7)=0,"""",SUM(I7,K7)),"""")","=IFERROR(ROUND(C7/B7),"""")","=IFERROR(TEXT(D7/C7,""0.0%""),"""")","=IFERROR(TEXT(E7/D7,""0.0%""),"""")","=IFERROR(TEXT(F7/E7,""0.0%""),"""")","=IFERROR(TEXT(G7/F7,""0.0%""),"""")","=IFERROR(TEXT(H7/G7,""0.0%""),"""")","=IFERROR(TEXT(I7/H7,""0.0%""),"""")","=IFERROR(TEXT(I7/G7,""0.0%""),"""")","=IFERROR(TEXT(K7/J7,""0.0%""),"""")","=IFERROR(TEXT(L7/D7,""0.00%""),"""")","=IFERROR(TEXT(B7/L7,""0.0""),"""")"
1月,,,,,,,,,,,"=IFERROR(IF(COUNT(I8:K8)=0,"""",SUM(I8,K8)),"""")","=IFERROR(ROUND(C8/B8),"""")","=IFERROR(TEXT(D8/C8,""0.0%""),"""")","=IFERROR(TEXT(E8/D8,""0.0%""),"""")","=IFERROR(TEXT(F8/E8,""0.0%""),"""")","=IFERROR(TEXT(G8/F8,""0.0%""),"""")","=IFERROR(TEXT(H8/G8,""0.0%""),"""")","=IFERROR(TEXT(I8/H8,""0.0%""),"""")","=IFERROR(TEXT(I8/G8,""0.0%""),"""")","=IFERROR(TEXT(K8/J8,""0.0%""),"""")","=IFERROR(TEXT(L8/D8,""0.00%""),"""")","=IFERROR(TEXT(B8/L8,""0.0""),"""")"
2月,,,,,,,,,,,"=IFERROR(IF(COUNT(I9:K9)=0,"""",SUM(I9,K9)),"""")","=IFERROR(ROUND(C9/B9),"""")","=IFERROR(TEXT(D9/C9,""0.0%""),"""")","=IFERROR(TEXT(E9/D9,""0.0%""),"""")","=IFERROR(TEXT(F9/E9,""0.0%""),"""")","=IFERROR(TEXT(G9/F9,""0.0%""),"""")","=IFERROR(TEXT(H9/G9,""0.0%""),"""")","=IFERROR(TEXT(I9/H9,""0.0%""),"""")","=IFERROR(TEXT(I9/G9,""0.0%""),"""")","=IFERROR(TEXT(K9/J9,""0.0%""),"""")","=IFERROR(TEXT(L9/D9,""0.00%""),"""")","=IFERROR(TEXT(B9/L9,""0.0""),"""")"
3月,,,,,,,,,,,"=IFERROR(IF(COUNT(I10:K10)=0,"""",SUM(I10,K10)),"""")","=IFERROR(ROUND(C10/B10),"""")","=IFERROR(TEXT(D10/C10,""0.0%""),"""")","=IFERROR(TEXT(E10/D10,""0.0%""),"""")","=IFERROR(TEXT(F10/E10,""0.0%""),"""")","=IFERROR(TEXT(G10/F10,""0.0%""),"""")","=IFERROR(TEXT(H10/G10,""0.0%""),"""")","=IFERROR(TEXT(I10/H10,""0.0%""),"""")","=IFERROR(TEXT(I10/G10,""0.0%""),"""")","=IFERROR(TEXT(K10/J10,""0.0%""),"""")","=IFERROR(TEXT(L10/D10,""0.00%""),"""")","=IFERROR(TEXT(B10/L10,""0.0""),"""")"
4月,,,,,,,,,,,"=IFERROR(IF(COUNT(I11:K11)=0,"""",SUM(I11,K11)),"""")","=IFERROR(ROUND(C11/B11),"""")","=IFERROR(TEXT(D11/C11,""0.0%""),"""")","=IFERROR(TEXT(E11/D11,""0.0%""),"""")","=IFERROR(TEXT(F11/E11,""0.0%""),"""")","=IFERROR(TEXT(G11/F11,""0.0%""),"""")","=IFERROR(TEXT(H11/G11,""0.0%""),"""")","=IFERROR(TEXT(I11/H11,""0.0%""),"""")","=IFERROR(TEXT(I11/G11,""0.0%""),"""")","=IFERROR(TEXT(K11/J11,""0.0%""),"""")","=IFERROR(TEXT(L11/D11,""0.00%""),"""")","=IFERROR(TEXT(B11/L11,""0.0""),"""")"
5月,,,,,,,,,,,"=IFERROR(IF(COUNT(I12:K12)=0,"""",SUM(I12,K12)),"""")","=IFERROR(ROUND(C12/B12),"""")","=IFERROR(TEXT(D12/C12,""0.0%""),"""")","=IFERROR(TEXT(E12/D12,""0.0%""),"""")","=IFERROR(TEXT(F12/E12,""0.0%""),"""")","=IFERROR(TEXT(G12/F12,""0.0%""),"""")","=IFERROR(TEXT(H12/G12,""0.0%""),"""")","=IFERROR(TEXT(I12/H12,""0.0%""),"""")","=IFERROR(TEXT(I12/G12,""0.0%""),"""")","=IFERROR(TEXT(K12/J12,""0.0%""),"""")","=IFERROR(TEXT(L12/D12,""0.00%""),"""")","=IFERROR(TEXT(B12/L12,""0.0""),"""")"
